carrier_id,carrier_name,carrier_tier,total_shipments,delivered_shipments,on_time_shipments,sla_breached_shipments,sla_breach_pct,avg_transit_days,avg_delay_days,total_shipping_cost,avg_shipping_cost,shipping_cost_per_kg
1,BlueDart,Standard,27013,22753,20989,1815,6.72,5.46,-0.03,5648748.4,209.11,9.89
10,UPS,Express,21980,18584,17116,1513,6.88,3.01,0.0,2982177.47,135.68,16.86
13,AmazonShipping,Economy,19158,16027,14731,1349,7.04,8.48,-0.02,6057938.63,316.21,7.12
14,Gati,Economy,19225,16194,14883,1348,7.01,8.51,-0.01,6114580.95,318.05,7.12
22,BluSmartLogistics,Express,22530,18915,17435,1533,6.8,2.99,-0.01,3055936.81,135.64,16.87
25,SwiftCargo,Express,22296,18697,17202,1556,6.98,3.0,-0.0,3017895.13,135.36,16.89
11,Aramex,Premium,8383,7037,6415,648,7.73,1.61,0.11,780480.54,93.1,40.95
18,Pickrr,Express,22268,18736,17206,1583,7.11,3.0,-0.0,3026759.54,135.92,16.84
2,Delhivery,Express,22414,18879,17425,1506,6.72,3.0,-0.01,3050218.07,136.09,16.83
19,Borzo,Premium,8455,7154,6618,554,6.55,1.58,0.09,786543.83,93.03,41.02
24,MoveFast,Express,22323,18774,17302,1528,6.84,3.0,-0.0,3011218.97,134.89,16.92
6,Shadowfax,Economy,19304,16195,14893,1334,6.91,8.47,-0.03,6106660.46,316.34,7.12
20,Porter,Economy,19391,16310,15026,1334,6.88,8.48,-0.02,6117613.63,315.49,7.12
3,EcomExpress,Economy,19422,16334,15018,1358,6.99,8.49,-0.01,6128974.44,315.57,7.12
8,FedEx,Standard,27054,22716,20858,1926,7.12,5.49,-0.02,5653085.12,208.96,9.89
21,ShiprocketX,Economy,19043,16144,14856,1330,6.98,8.47,-0.02,6025317.83,316.41,7.12
17,Trackon,Premium,8571,7204,6603,621,7.25,1.6,0.11,799158.94,93.24,40.82
9,DHL,Standard,26715,22465,20678,1858,6.95,5.5,-0.01,5607560.8,209.9,9.88
23,QuickShift,Express,22385,18822,17286,1585,7.08,3.0,-0.0,3028144.11,135.28,16.89
7,Ekart,Standard,26787,22422,20568,1919,7.16,5.47,-0.02,5605111.44,209.25,9.89
16,Safexpress,Express,22285,18829,17326,1562,7.01,3.01,0.0,3025284.84,135.75,16.86
12,IndiaPost,Express,22343,18764,17325,1504,6.73,3.01,-0.0,3026176.2,135.44,16.88
5,DTDC,Express,22246,18812,17331,1535,6.9,3.0,0.0,3000725.93,134.89,16.92
4,XpressBees,Economy,19310,16191,14873,1379,7.14,8.48,-0.02,6116517.82,316.75,7.12
15,TCIExpress,Premium,8599,7277,6670,633,7.36,1.6,0.1,798267.73,92.83,41.21
