date_key,full_date,year,quarter,month,month_name,week_of_year,total_orders,delivered_orders,gross_revenue,net_revenue,avg_order_value,total_shipments,delivered_shipments,on_time_shipments,sla_breach_shipments,sla_breach_pct,shipping_cost,avg_shipping_cost,avg_transit_days,avg_delay_days
20230621,2023-06-21,2023,2,6,June,25,253,202,657298.94,590149.64,2332.61,276,235,213,24,8.7,54386.61,197.05,4.88,0.04
20251211,2025-12-11,2025,4,12,December,50,460,388,1051504.63,969440.07,2107.48,439,361,335,28,6.38,88675.56,201.99,4.91,-0.02
20250416,2025-04-16,2025,2,4,April,16,266,212,627763.0,567779.46,2134.51,261,226,209,17,6.51,51127.47,195.89,4.99,0.06
20240804,2024-08-04,2024,3,8,August,31,329,267,767592.51,706121.58,2146.27,293,253,237,16,5.46,55170.2,188.29,4.48,-0.06
20241211,2024-12-11,2024,4,12,December,50,456,386,1054176.8,940930.07,2063.44,472,395,358,39,8.26,91715.75,194.31,5.0,0.02
20241024,2024-10-24,2024,4,10,October,43,581,493,1460998.23,1328036.22,2285.78,542,450,414,36,6.64,106830.75,197.1,4.97,0.04
20250324,2025-03-24,2025,1,3,March,13,241,203,694984.59,632174.74,2623.13,242,196,175,21,8.68,45688.63,188.8,5.21,0.14
20220815,2022-08-15,2022,3,8,August,33,272,226,690233.04,625150.08,2298.35,274,232,210,22,8.03,54352.18,198.37,4.75,-0.0
20241018,2024-10-18,2024,4,10,October,42,580,491,1353453.61,1233346.63,2126.46,561,471,441,30,5.35,110458.23,196.9,4.77,-0.09
20220317,2022-03-17,2022,1,3,March,11,225,181,538703.25,489749.32,2176.66,238,201,181,20,8.4,49640.04,208.57,4.94,0.0
20230414,2023-04-14,2023,2,4,April,15,250,209,611391.4,550124.57,2200.5,231,198,185,15,6.49,40918.12,177.13,4.78,0.01
20250226,2025-02-26,2025,1,2,February,9,247,201,583920.25,545502.35,2208.51,214,179,167,12,5.61,40696.22,190.17,4.8,-0.02
20231102,2023-11-02,2023,4,11,November,44,764,619,1916718.32,1747292.38,2287.03,625,531,489,42,6.72,120470.32,192.75,4.8,-0.01
20221103,2022-11-03,2022,4,11,November,44,729,590,1766185.62,1598953.79,2193.35,710,602,551,54,7.61,134554.8,189.51,4.97,0.04
20240622,2024-06-22,2024,2,6,June,25,235,192,602817.13,541663.7,2304.95,249,199,179,22,8.84,49823.18,200.09,4.98,0.07
20230723,2023-07-23,2023,3,7,July,29,298,244,747696.0,674620.52,2263.83,282,249,229,21,7.45,53730.71,190.53,4.6,-0.02
20231201,2023-12-01,2023,4,12,December,48,501,412,1329971.58,1214863.06,2424.88,642,554,517,39,6.07,127989.05,199.36,5.01,0.04
20220727,2022-07-27,2022,3,7,July,30,285,227,638192.19,577767.48,2027.25,260,220,203,18,6.92,51069.17,196.42,4.81,-0.06
20221016,2022-10-16,2022,4,10,October,41,576,470,1462026.95,1320888.94,2293.21,629,552,514,40,6.36,120699.35,191.89,4.93,0.0
20230413,2023-04-13,2023,2,4,April,15,233,188,525289.21,475995.18,2042.9,237,186,170,18,7.59,51577.52,217.63,5.43,-0.03
20250706,2025-07-06,2025,3,7,July,27,268,212,605614.53,549325.71,2049.72,253,220,202,18,7.11,46850.78,185.18,4.72,-0.0
20240415,2024-04-15,2024,2,4,April,16,229,176,586960.69,529530.31,2312.36,245,205,187,18,7.35,48530.72,198.08,4.77,0.01
20240620,2024-06-20,2024,2,6,June,25,248,203,668919.45,598260.58,2412.34,249,211,198,13,5.22,44186.18,177.45,4.61,-0.0
20220419,2022-04-19,2022,2,4,April,16,260,199,642643.55,572811.55,2203.12,259,215,201,14,5.41,52220.99,201.63,4.92,-0.05
20230806,2023-08-06,2023,3,8,August,31,294,256,760668.7,698085.39,2374.44,296,250,240,10,3.38,56621.58,191.29,4.61,-0.08
20221207,2022-12-07,2022,4,12,December,49,443,366,1128088.82,1022571.25,2308.29,467,399,364,35,7.49,94540.2,202.44,4.96,-0.01
20220203,2022-02-03,2022,1,2,February,5,216,179,503814.9,449572.92,2081.36,243,200,187,13,5.35,48014.37,197.59,5.0,0.0
