seller_id,seller_name,seller_tier,seller_region,seller_category,rating_score,total_order_items,total_quantity_sold,total_revenue,avg_order_item_value,total_shipments,delivered_shipments,on_time_shipments,sla_breached_shipments,sla_breach_pct,avg_transit_days,avg_delay_days,total_shipping_cost,avg_shipping_cost
1,UrbanImports9935,Mid,North India,"Electronics,Sports,Home,Grocery,Beauty,Fashion",3.89,70,91,1387636.86,19823.38,30.821428571428573,28.011904761904763,27.845238095238095,0.16666666666666666,0.54,6.0,-0.14,6987.98,99.83
2,NextBazaar1434,Long Tail,Central India,"Electronics,Sports,Grocery,Beauty",4.86,165,212,6302577.21,38197.44,59.46904761904762,47.97619047619047,45.1,2.876190476190476,4.84,5.78,-0.03,12952.38,78.5
3,TechEnterprise3615,Long Tail,West India,"Sports,Grocery,Beauty,Electronics,Fashion,Home",3.91,190,260,5207779.27,27409.36,68.88809523809523,59.63809523809523,54.01190476190476,5.626190476190476,8.17,6.28,0.0,15588.77,82.05
4,UrbanStore7224,Long Tail,North India,"Fashion,Sports,Home",4.17,692,964,89899121.64,129912.03,261.27619047619055,216.17142857142852,196.24285714285708,21.42857142857143,8.2,5.51,0.05,49404.38,71.5
5,SuperBazaar3045,Mid,West India,"Grocery,Home,Electronics",3.6,48,67,213394.23,4445.71,22.235714285714284,17.526190476190475,14.826190476190476,2.6999999999999997,12.14,5.05,0.21,2823.13,58.82
6,PrimeKart4733,Mid,East India,"Home,Grocery,Sports,Beauty,Electronics",3.55,1138,1580,80048982.07,70341.81,428.514285714286,360.4309523809526,331.9333333333335,29.23095238095238,6.82,5.3,-0.02,78396.15,68.95
7,FastTraders6977,Premium,South India,"Electronics,Beauty",4.86,583,791,2828578.24,4851.76,209.61666666666662,178.14523809523806,164.35952380952378,13.785714285714285,6.58,5.15,-0.01,32908.44,56.45
8,VertexImports3803,Long Tail,Central India,"Fashion,Home,Electronics",4.3,1158,1569,92347319.26,79747.25,442.7738095238098,375.2785714285716,347.4642857142859,28.764285714285716,6.5,5.14,-0.03,76196.58,65.91
9,QuickMart4598,Long Tail,East India,"Fashion,Beauty",4.02,620,881,73334223.76,118281.01,237.26904761904757,203.53095238095233,187.35238095238088,16.17857142857143,6.82,5.34,0.02,42191.64,68.05
10,MegaEnterprise6168,Long Tail,West India,Fashion,3.53,158,234,2492984.91,15778.39,63.44761904761904,54.24523809523809,49.33571428571428,4.909523809523809,7.74,5.85,0.07,12663.92,80.15
11,ApexDistribution6155,Premium,South India,Fashion,4.95,695,980,33598653.45,48343.39,247.47857142857143,209.0999999999999,189.71428571428564,20.05238095238095,8.1,5.42,-0.02,45406.8,65.52
12,SmartRetail9830,Long Tail,East India,"Beauty,Sports,Fashion,Grocery",4.91,555,768,3243572.23,5844.27,210.59285714285713,177.14047619047614,170.69523809523807,6.945238095238095,3.3,4.96,-0.09,34164.43,61.67
13,SmartBazaar9085,Long Tail,North India,"Beauty,Grocery,Sports,Fashion,Electronics",4.13,1175,1640,42851143.82,36469.06,432.8023809523813,362.63809523809556,332.26190476190493,30.626190476190477,7.08,5.52,-0.02,82084.04,69.98
14,SmartImports3621,Mid,West India,Electronics,4.6,61,78,754599.5,12370.48,18.676190476190477,16.076190476190476,13.242857142857142,2.8333333333333335,15.17,6.34,-0.15,4170.58,68.37
15,QuickMarketplace8668,Mid,Central India,Beauty,3.88,771,1112,9058519.7,11749.05,293.42142857142863,238.39999999999995,223.98095238095235,16.752380952380953,5.71,6.43,-0.02,70961.02,92.04
16,UrbanMart8123,Mid,South India,"Electronics,Sports,Home,Beauty,Fashion",3.8,1097,1554,30237651.85,27563.95,410.1952380952383,343.4595238095239,313.7452380952382,32.214285714285715,7.85,6.78,0.0,111955.09,102.24
17,FastBazaar3927,Mid,Central India,Sports,4.2,1216,1682,14630435.98,12031.61,448.62380952380977,378.7047619047622,343.11190476190495,37.42619047619048,8.34,6.05,0.0,99763.77,82.11
18,ReliableEnterprise9689,Long Tail,North India,"Home,Grocery,Fashion,Electronics,Beauty,Sports",4.41,1022,1415,98693326.51,96568.81,390.2333333333336,335.9142857142859,307.6309523809525,28.783333333333335,7.38,5.75,0.02,76296.0,74.65
19,FutureDistribution6038,Long Tail,South India,"Beauty,Electronics,Grocery",3.67,1099,1541,16143847.75,14689.58,412.1857142857145,351.08095238095245,319.3547619047619,31.976190476190474,7.76,6.01,0.02,88780.6,80.78
20,PrimeExports8962,Mid,North India,"Grocery,Electronics",3.84,617,847,9062606.17,14688.18,234.3404761904762,192.22857142857146,179.61666666666665,12.61190476190476,5.38,7.4,-0.07,71447.7,115.8
21,FastBazaar7932,Long Tail,South India,"Fashion,Sports,Beauty,Home,Electronics",4.78,1150,1575,32739839.31,28469.43,431.0976190476193,363.57857142857165,336.94761904761924,27.664285714285715,6.42,6.54,-0.03,110254.17,95.96
22,NationalTraders2982,Mid,South India,"Sports,Fashion,Home,Grocery,Beauty,Electronics",4.29,1762,2438,108328592.92,61480.47,667.7214285714288,569.0619047619051,520.319047619048,49.65952380952382,7.44,5.65,-0.0,125624.95,71.34
23,TechMarketplace4770,Mid,Central India,Home,4.79,1168,1618,67643067.53,57913.59,439.7166666666669,373.03095238095267,345.4666666666669,27.707142857142863,6.3,5.71,-0.03,85865.28,73.58
24,MegaRetail2104,Mid,North India,Electronics,3.6,1716,2355,42343301.66,24675.58,646.9547619047622,536.2309523809528,485.5404761904766,52.19047619047619,8.07,5.51,-0.0,118350.62,69.01
25,FastImports8953,Long Tail,South India,"Electronics,Grocery,Fashion",4.32,652,904,6027332.43,9244.37,238.25238095238095,197.93095238095233,185.8023809523809,12.961904761904762,5.44,6.7,-0.05,64820.77,99.42
26,ApexTraders4981,Long Tail,West India,"Sports,Grocery",4.19,656,891,6905992.57,10527.43,256.21190476190475,216.3166666666666,202.18095238095236,14.719047619047618,5.74,5.33,-0.0,44764.33,68.24
27,ValueCommerce7939,Mid,West India,"Fashion,Electronics,Grocery,Home",3.75,140,208,3448410.44,24631.5,54.12380952380951,44.72380952380952,41.21428571428571,3.5095238095238095,6.48,5.26,0.0,9145.09,65.32
28,NextRetail4116,Long Tail,Central India,"Electronics,Sports,Grocery,Fashion,Home,Beauty",4.77,179,230,3471815.26,19395.62,65.04523809523808,56.06666666666666,48.00000000000001,8.399999999999999,12.91,5.78,0.13,12587.53,70.32
29,FastTraders5092,Long Tail,North India,"Beauty,Fashion",4.19,25,37,171188.03,6847.52,9.061904761904762,7.552380952380951,6.719047619047618,0.8333333333333333,9.2,5.47,0.05,1607.42,64.3
30,EliteSupply8956,Premium,West India,"Electronics,Sports,Grocery,Beauty,Home",4.48,605,836,11320776.26,18712.03,227.39285714285714,196.0642857142857,183.7190476190476,12.345238095238095,5.43,6.17,-0.03,49365.66,81.6
31,QuickMart8454,Long Tail,East India,"Electronics,Fashion,Beauty,Sports",3.59,613,857,2434246.58,3971.04,232.31666666666663,188.40476190476187,172.92142857142852,17.483333333333334,7.53,5.2,-0.0,38085.87,62.23
32,GlobalKart9883,Mid,North India,"Sports,Grocery,Beauty,Electronics,Home,Fashion",4.71,63,84,419422.4,6657.5,22.571428571428577,18.976190476190474,16.726190476190474,2.75,12.18,6.06,-0.06,5541.47,87.96
33,NationalDistribution9701,Premium,South India,"Electronics,Sports,Beauty",3.58,116,154,1187184.8,10234.35,42.959523809523816,35.65952380952381,35.042857142857144,0.6166666666666667,1.44,4.43,-0.22,7082.11,61.05
34,NextSupply2964,Long Tail,Central India,"Electronics,Fashion,Sports,Home,Beauty",3.8,107,158,5540922.86,51784.33,39.88809523809524,35.02142857142857,33.338095238095235,1.6833333333333331,4.22,4.92,-0.09,6947.87,64.93
35,FastRetail6147,Long Tail,South India,"Grocery,Electronics,Sports,Fashion,Home",3.75,720,962,5499299.06,7637.92,270.14761904761906,231.57380952380947,211.47619047619042,20.990476190476194,7.77,5.4,0.02,45712.36,63.49
36,PrimeKart8508,Long Tail,Central India,"Fashion,Home,Beauty,Sports",4.64,106,135,2213866.89,20885.54,44.32857142857143,37.042857142857144,34.892857142857146,2.15,4.85,6.15,0.02,9173.94,86.55
