warehouse_id,warehouse_name,warehouse_type,city,state,region,capacity_units,warehouse_rating,total_shipments,delivered_shipments,on_time_shipments,sla_breached_shipments,sla_breach_pct,avg_transit_days,avg_delay_days,total_shipping_cost,avg_shipping_cost,shipping_cost_per_kg,warehouse_utilization_pct
1,Kolkata_FC_1,Tier 2,Kolkata,West Bengal,East India,191184,4.58,7310,6155,5665,506,6.92,4.94,-0.01,1451324.71,198.54,9.66,3.82
2,Chennai_FC_2,Tier 1,Chennai,Tamil Nadu,South India,587772,4.01,3563,3030,2801,234,6.57,4.93,-0.01,701760.31,196.96,9.74,0.61
3,Hyderabad_FC_3,Tier 1,Hyderabad,Telangana,South India,485585,4.85,3448,2912,2689,227,6.58,4.93,0.01,688606.17,199.71,9.65,0.71
4,Hyderabad_FC_4,Tier 1,Hyderabad,Telangana,South India,394501,4.54,3509,2966,2746,226,6.44,4.86,-0.02,693586.29,197.66,9.77,0.89
5,Patna_FC_5,Tier 2,Patna,Bihar,East India,224999,3.99,7497,6331,5813,534,7.12,4.91,-0.0,1462820.29,195.12,9.78,3.33
6,Ahmedabad_FC_6,Tier 2,Ahmedabad,Gujarat,West India,170684,4.95,2427,2024,1862,171,7.05,4.93,-0.01,482407.15,198.77,9.68,1.42
7,Bangalore_FC_7,Tier 1,Bangalore,Karnataka,South India,501841,4.42,3642,3028,2787,253,6.95,4.88,0.0,713038.98,195.78,9.79,0.73
8,Hyderabad_FC_8,Tier 1,Hyderabad,Telangana,South India,479705,3.89,3602,3003,2755,260,7.22,4.92,0.02,702063.86,194.91,9.82,0.75
9,Bangalore_FC_9,Tier 1,Bangalore,Karnataka,South India,258989,4.55,3586,3005,2772,243,6.78,4.91,-0.02,704877.62,196.56,9.73,1.38
10,Nagpur_FC_10,Tier 2,Nagpur,Maharashtra,West India,161452,4.1,2272,1898,1751,153,6.73,4.91,-0.01,451089.95,198.54,9.7,1.41
11,Kochi_FC_11,Tier 2,Kochi,Kerala,South India,227376,4.76,3630,3028,2786,252,6.94,4.86,-0.0,719895.29,198.32,9.77,1.6
12,Ahmedabad_FC_12,Tier 2,Ahmedabad,Gujarat,West India,157376,4.78,2375,1985,1835,155,6.53,5.0,-0.01,472658.45,199.01,9.69,1.51
13,Lucknow_FC_13,Tier 2,Lucknow,Uttar Pradesh,North India,233614,4.97,5282,4435,4068,380,7.19,4.94,0.0,1036117.67,196.16,9.73,2.26
14,Kochi_FC_14,Tier 2,Kochi,Kerala,South India,137930,4.4,3567,2990,2746,258,7.23,4.96,0.02,697887.87,195.65,9.81,2.59
15,Delhi_FC_15,Tier 1,Delhi,Delhi,North India,390339,4.35,5100,4295,3974,333,6.53,4.95,-0.03,1019389.83,199.88,9.65,1.31
16,Indore_FC_16,Tier 2,Indore,Madhya Pradesh,Central India,197211,4.7,4691,3917,3600,329,7.01,4.9,-0.01,925053.7,197.2,9.71,2.38
17,Lucknow_FC_17,Tier 2,Lucknow,Uttar Pradesh,North India,166797,3.96,5231,4415,4041,391,7.47,4.94,0.01,1030979.92,197.09,9.72,3.14
18,Indore_FC_18,Tier 2,Indore,Madhya Pradesh,Central India,125908,4.46,4606,3854,3541,327,7.1,4.94,-0.01,917837.86,199.27,9.65,3.66
19,Chennai_FC_19,Tier 1,Chennai,Tamil Nadu,South India,595135,4.46,3489,2972,2714,267,7.65,4.88,0.01,686668.16,196.81,9.72,0.59
20,Lucknow_FC_20,Tier 2,Lucknow,Uttar Pradesh,North India,181321,3.91,5287,4439,4093,355,6.71,4.88,-0.0,1034515.49,195.67,9.81,2.92
21,Indore_FC_21,Tier 2,Indore,Madhya Pradesh,Central India,205831,4.3,4527,3814,3538,293,6.47,4.9,-0.03,899155.99,198.62,9.65,2.2
22,Mumbai_FC_22,Tier 1,Mumbai,Maharashtra,West India,283013,4.82,2399,2011,1835,183,7.63,4.89,0.01,465838.48,194.18,9.84,0.85
