date_key,full_date,year,quarter,month,month_name,week_of_year,total_orders,delivered_orders,gross_revenue,net_revenue,avg_order_value,total_shipments,delivered_shipments,on_time_shipments,shipping_cost,avg_shipping_cost,sla_breach_shipments,sla_breach_pct,avg_transit_days,avg_delay_days
20220101,2022-01-01,2022,1,1,January,52,246,211,727622.8800000001,659863.7099999998,2682.372804878048,54,52,52,9881.96,182.99925925925925,2,3.7,4.7592592592592595,-0.07407407407407407
20220102,2022-01-02,2022,1,1,January,52,238,192,615248.7200000001,564014.11,2369.8071848739496,141,128,128,26689.21,189.28517730496452,13,9.22,4.9361702127659575,0.0425531914893617
20220103,2022-01-03,2022,1,1,January,1,215,176,457207.4799999999,414663.01000000007,1928.6651627906979,184,171,171,35233.259999999995,191.48510869565214,13,7.07,4.961956521739131,0.021739130434782608
20220104,2022-01-04,2022,1,1,January,1,221,175,619643.6600000001,548068.8000000002,2479.949321266969,197,180,180,38981.560000000005,197.87593908629444,17,8.63,4.862944162436548,0.03553299492385787
20220105,2022-01-05,2022,1,1,January,1,239,189,586446.03,523403.06000000006,2189.9709623430963,197,184,184,37568.13,190.70116751269035,13,6.6,4.756345177664975,-0.01015228426395939
20220106,2022-01-06,2022,1,1,January,1,217,191,592732.99,540011.0,2488.5299539170505,213,195,195,40796.06,191.5307981220657,18,8.45,4.610328638497653,0.06572769953051644
20220107,2022-01-07,2022,1,1,January,1,214,183,490957.44999999995,442801.98000000004,2069.1681308411216,200,184,184,40109.61,200.54805,16,8.0,5.385,0.07
20220108,2022-01-08,2022,1,1,January,1,227,188,546242.8500000001,497905.31000000006,2193.4154625550664,213,196,196,37889.719999999994,177.88600938967133,17,7.98,4.845070422535211,0.028169014084507043
20220109,2022-01-09,2022,1,1,January,1,252,200,556140.05,503396.37,1997.6046428571428,198,180,180,36257.35,183.1179292929293,18,9.09,4.883838383838384,0.06565656565656566
20220110,2022-01-10,2022,1,1,January,2,235,181,511725.20999999996,464669.35000000003,1977.3163829787236,199,185,185,40044.78999999999,201.23010050251253,14,7.04,5.0,0.02512562814070352
20220111,2022-01-11,2022,1,1,January,2,248,205,583515.79,520214.59,2097.6394758064516,222,207,207,43413.47,195.55617117117117,15,6.76,5.054054054054054,0.018018018018018018
20220112,2022-01-12,2022,1,1,January,2,207,174,516261.1000000001,473262.23,2286.2909661835747,207,185,185,40842.40999999999,197.3063285024154,22,10.63,5.280193236714976,0.0966183574879227
20220113,2022-01-13,2022,1,1,January,2,226,180,593648.94,539992.01,2389.3451769911503,189,173,173,37472.549999999996,198.2674603174603,16,8.47,5.015873015873016,0.06349206349206349
20220114,2022-01-14,2022,1,1,January,2,220,175,492444.48,447633.91000000003,2034.699590909091,204,186,186,38186.54,187.18892156862745,18,8.82,4.9754901960784315,0.07352941176470588
20220115,2022-01-15,2022,1,1,January,2,218,177,540190.9099999999,490519.58,2250.0898165137614,219,200,200,45537.720000000016,207.93479452054802,19,8.68,5.091324200913242,0.0502283105022831
20220116,2022-01-16,2022,1,1,January,2,223,182,482317.53,430528.42000000004,1930.6207174887895,191,180,180,38419.01999999999,201.14670157068056,11,5.76,5.18848167539267,0.05235602094240838
20220117,2022-01-17,2022,1,1,January,3,213,180,516220.78,474311.47,2226.8144131455397,187,178,178,40158.98999999999,214.75395721925128,9,4.81,4.978609625668449,-0.0427807486631016
20220118,2022-01-18,2022,1,1,January,3,261,214,665870.09,604353.56,2315.5308812260537,209,188,188,39867.66999999999,190.75440191387557,21,10.05,4.8708133971291865,0.10526315789473684
20220119,2022-01-19,2022,1,1,January,3,208,174,545204.1699999999,492072.8700000001,2365.7349519230775,218,200,200,38624.380000000005,177.17605504587158,18,8.26,4.821100917431193,0.0963302752293578
20220120,2022-01-20,2022,1,1,January,3,234,206,600961.1300000001,545972.3200000001,2333.215042735043,203,189,189,41263.29000000001,203.26743842364536,14,6.9,5.216748768472907,0.009852216748768473
20220121,2022-01-21,2022,1,1,January,3,223,180,579851.1500000001,517961.66,2322.6980269058295,191,174,174,35494.34,185.8342408376963,17,8.9,4.785340314136126,0.05759162303664921
20220122,2022-01-22,2022,1,1,January,3,223,181,576765.98,525192.3300000001,2355.122556053812,212,204,204,42261.76000000001,199.34792452830192,8,3.77,4.716981132075472,-0.05660377358490566
20220123,2022-01-23,2022,1,1,January,3,224,188,574514.7999999998,508500.35000000003,2270.090848214286,209,181,181,43160.19000000001,206.50808612440196,28,13.4,5.177033492822966,0.14832535885167464
20220124,2022-01-24,2022,1,1,January,4,238,196,525394.35,472554.2199999999,1985.5219327731088,204,189,189,43522.71,213.34661764705882,15,7.35,5.269607843137255,-0.004901960784313725
20220125,2022-01-25,2022,1,1,January,4,235,195,541566.3,498144.07999999996,2119.7620425531913,200,190,190,37361.19,186.80595000000002,10,5.0,5.01,0.02
20220126,2022-01-26,2022,1,1,January,4,238,197,528457.52,478799.73000000004,2011.7635714285716,217,204,204,42924.40000000001,197.8082949308756,13,5.99,4.8018433179723505,-0.004608294930875576
20220127,2022-01-27,2022,1,1,January,4,254,213,647356.01,591843.11,2330.0909842519686,219,198,198,42563.22,194.35260273972602,21,9.59,4.958904109589041,0.0502283105022831
20220128,2022-01-28,2022,1,1,January,4,230,187,527542.3999999999,475850.77,2068.916391304348,225,212,212,47234.81999999999,209.9325333333333,13,5.78,5.168888888888889,-0.0044444444444444444
20220129,2022-01-29,2022,1,1,January,4,236,200,653288.03,597302.3600000001,2530.942203389831,201,186,186,40073.07000000001,199.3685074626866,15,7.46,5.278606965174129,0.0
20220130,2022-01-30,2022,1,1,January,4,242,192,600645.4599999998,536472.8600000001,2216.8300000000004,241,221,221,49911.14,207.10016597510372,20,8.3,5.203319502074689,0.08298755186721991
