seller_id,seller_name,seller_tier,seller_region,seller_category,rating_score,total_order_items,total_quantity_sold,total_revenue,avg_order_item_value,total_shipments,delivered_shipments,on_time_shipments,sla_breached_shipments,sla_breach_pct,avg_transit_days,avg_delay_days,total_shipping_cost,avg_shipping_cost
1,UrbanImports9935,Mid,North India,"Electronics,Sports,Home,Grocery,Beauty,Fashion",3.89,70,93,1399909.86,19998.71,23.740476190476194,19.47142857142857,19.47142857142857,1.726190476190476,7.27,6.73,0.01,6228.686476190476,88.98
2,NextBazaar1434,Long Tail,Central India,"Electronics,Sports,Grocery,Beauty",4.86,164,238,5706732.92,34797.15,61.497619047619054,52.471428571428575,52.471428571428575,4.8428571428571425,7.87,5.77,0.07,13569.150714285715,83.25
3,TechEnterprise3615,Long Tail,West India,"Sports,Grocery,Beauty,Electronics,Fashion,Home",3.91,190,249,4718024.2,24831.71,73.69285714285714,63.050000000000004,63.050000000000004,5.066666666666666,6.88,5.82,0.04,14906.15461904762,78.45
4,UrbanStore7224,Long Tail,North India,"Fashion,Sports,Home",4.17,692,943,88375655.08,127710.48,270.77619047619044,222.58571428571426,222.58571428571426,21.78571428571429,8.05,5.34,0.05,49807.880047619044,72.08
5,SuperBazaar3045,Mid,West India,"Grocery,Home,Electronics",3.6,48,63,203978.03,4249.54,19.92857142857143,17.645238095238092,17.645238095238092,1.7833333333333332,8.95,4.71,0.1,2931.4571666666666,61.07
6,PrimeKart4733,Mid,East India,"Home,Grocery,Sports,Beauty,Electronics",3.55,1140,1596,84429201.69,74060.7,424.1238095238098,359.98095238095254,359.98095238095254,35.60714285714286,8.4,5.34,0.06,77439.44988095241,67.99
7,FastTraders6977,Premium,South India,"Electronics,Beauty",4.86,586,818,2542255.64,4338.32,215.8714285714285,186.12619047619046,186.12619047619046,12.65238095238095,5.86,5.04,-0.01,34087.4758095238,58.17
8,VertexImports3803,Long Tail,Central India,"Fashion,Home,Electronics",4.3,1161,1645,72405733.71,62364.97,447.05000000000035,382.3000000000002,382.3000000000002,34.42857142857142,7.7,5.47,0.07,78016.47980952382,67.49
9,QuickMart4598,Long Tail,East India,"Fashion,Beauty",4.02,624,870,63248832.25,101360.31,229.7619047619047,187.96428571428567,187.96428571428567,23.502380952380953,10.23,5.57,0.07,41764.314880952385,66.93
10,MegaEnterprise6168,Long Tail,West India,Fashion,3.53,158,242,2651394.6,16780.98,60.60238095238095,51.25,51.25,3.9499999999999997,6.52,5.66,-0.01,12842.236595238097,81.28
11,ApexDistribution6155,Premium,South India,Fashion,4.95,693,974,30269947.19,43679.58,259.1166666666667,219.88809523809516,219.88809523809516,23.895238095238096,9.22,5.58,0.06,46058.31483333333,66.56
12,SmartRetail9830,Long Tail,East India,"Beauty,Sports,Fashion,Grocery",4.91,556,754,3734543.72,6716.81,213.9428571428571,186.12142857142854,186.12142857142854,15.035714285714285,7.03,5.02,-0.01,34758.852928571425,62.52
13,SmartBazaar9085,Long Tail,North India,"Beauty,Grocery,Sports,Fashion,Electronics",4.13,1175,1621,47308589.42,40262.63,449.15238095238124,397.8785714285716,397.8785714285716,26.302380952380954,5.86,5.56,0.02,83721.31249999999,71.37
14,SmartImports3621,Mid,West India,Electronics,4.6,61,97,834507.14,13680.44,21.854761904761908,17.271428571428572,17.271428571428572,2.15,9.84,6.28,0.15,4877.571142857143,79.96
15,QuickMarketplace8668,Mid,Central India,Beauty,3.88,771,1034,9230032.53,11971.51,283.45238095238096,247.34285714285716,247.34285714285716,21.47142857142857,7.57,6.46,0.08,69345.49947619048,90.06
16,UrbanMart8123,Mid,South India,"Electronics,Sports,Home,Beauty,Fashion",3.8,1098,1502,33749211.11,30736.99,397.6190476190478,334.5333333333334,334.5333333333334,26.597619047619048,6.69,6.84,0.01,107220.53907142857,97.83
17,FastBazaar3927,Mid,Central India,Sports,4.2,1218,1708,16616940.2,13642.81,458.669047619048,406.961904761905,406.961904761905,28.985714285714288,6.32,5.98,0.03,97977.86647619048,80.51
18,ReliableEnterprise9689,Long Tail,North India,"Home,Grocery,Fashion,Electronics,Beauty,Sports",4.41,1021,1378,113277733.54,110947.83,375.27857142857164,317.1880952380953,317.1880952380953,24.173809523809528,6.44,5.81,0.03,74895.1811904762,73.43
19,FutureDistribution6038,Long Tail,South India,"Beauty,Electronics,Grocery",3.67,1102,1522,15184858.81,13779.36,401.08333333333354,339.58571428571435,339.58571428571435,36.49523809523809,9.1,5.96,0.07,86612.63271428569,78.6
20,PrimeExports8962,Mid,North India,"Grocery,Electronics",3.84,617,838,9979295.41,16173.9,231.3904761904761,188.1809523809523,188.1809523809523,21.09285714285714,9.12,7.58,0.08,72659.07630952382,117.76
21,FastBazaar7932,Long Tail,South India,"Fashion,Sports,Beauty,Home,Electronics",4.78,1151,1596,28483915.3,24747.1,440.22857142857174,365.21666666666675,365.21666666666675,34.42142857142857,7.82,6.61,0.04,112833.49461904762,98.03
22,NationalTraders2982,Mid,South India,"Sports,Fashion,Home,Grocery,Beauty,Electronics",4.29,1766,2455,119020380.24,67395.46,654.6690476190479,559.7500000000005,559.7500000000005,49.98809523809525,7.64,5.64,0.02,124787.0456904762,70.66
23,TechMarketplace4770,Mid,Central India,Home,4.79,1168,1634,66192053.73,56671.28,436.62142857142885,373.5214285714288,373.5214285714288,34.96666666666666,8.01,5.73,0.05,86341.65071428573,73.99
24,MegaRetail2104,Mid,North India,Electronics,3.6,1718,2414,44419598.25,25855.41,656.521428571429,559.9238095238097,559.9238095238097,53.28809523809523,8.12,5.6,0.05,118846.71795238099,69.22
25,FastImports8953,Long Tail,South India,"Electronics,Grocery,Fashion",4.32,651,924,6878016.17,10565.31,246.66190476190476,206.3142857142857,206.3142857142857,20.51190476190476,8.32,6.73,0.03,66101.87711904763,101.54
26,ApexTraders4981,Long Tail,West India,"Sports,Grocery",4.19,659,934,8299458.2,12594.02,254.36666666666656,211.4833333333333,211.4833333333333,22.169047619047618,8.72,5.37,0.06,44617.980142857145,67.71
27,ValueCommerce7939,Mid,West India,"Fashion,Electronics,Grocery,Home",3.75,140,192,3632713.87,25947.96,52.311904761904756,42.719047619047615,42.719047619047615,3.533333333333333,6.75,5.72,0.01,9499.907380952382,67.86
28,NextRetail4116,Long Tail,Central India,"Electronics,Sports,Grocery,Fashion,Home,Beauty",4.77,180,224,3551723.14,19731.8,66.03809523809524,56.60476190476191,56.60476190476191,6.466666666666667,9.79,5.75,0.06,12833.54519047619,71.3
29,FastTraders5092,Long Tail,North India,"Beauty,Fashion",4.19,25,34,152105.6,6084.22,12.599999999999998,11.266666666666664,11.266666666666664,0.0,0.0,4.24,-0.12,1700.3201666666669,68.01
30,EliteSupply8956,Premium,West India,"Electronics,Sports,Grocery,Beauty,Home",4.48,606,821,16721550.66,27593.32,232.5619047619047,187.02380952380946,187.02380952380946,25.11190476190476,10.8,6.1,0.08,49958.458761904774,82.44
31,QuickMart8454,Long Tail,East India,"Electronics,Fashion,Beauty,Sports",3.59,612,846,2635748.23,4306.78,237.6047619047618,199.40476190476184,199.40476190476184,18.98095238095238,7.99,5.26,0.07,37760.5815952381,61.8
32,GlobalKart9883,Mid,North India,"Sports,Grocery,Beauty,Electronics,Home,Fashion",4.71,63,87,487425.01,7736.9,23.859523809523807,21.909523809523808,21.909523809523808,0.7,2.93,6.25,-0.06,6234.687238095238,98.96
33,NationalDistribution9701,Premium,South India,"Electronics,Sports,Beauty",3.58,118,141,765047.97,6483.46,43.92142857142857,35.57142857142857,35.57142857142857,4.866666666666666,11.08,5.14,0.04,6953.829547619048,58.93
34,NextSupply2964,Long Tail,Central India,"Electronics,Fashion,Sports,Home,Beauty",3.8,107,156,5593496.57,52275.67,38.695238095238096,29.145238095238096,29.145238095238096,4.083333333333333,10.55,5.36,-0.02,6923.2893095238105,64.7
35,FastRetail6147,Long Tail,South India,"Grocery,Electronics,Sports,Fashion,Home",3.75,721,1006,3226496.92,4475.03,270.40714285714284,224.61190476190473,224.61190476190473,19.583333333333332,7.24,5.25,0.01,45159.140452380954,62.63
36,PrimeKart8508,Long Tail,Central India,"Fashion,Home,Beauty,Sports",4.64,107,143,2415926.5,22578.75,37.47380952380952,33.05714285714286,33.05714285714286,3.183333333333333,8.49,6.35,0.05,8445.48388095238,78.93
37,ReliableRetail9288,Mid,East India,Electronics,3.81,895,1201,84106004.93,93973.19,336.58571428571435,283.0595238095238,283.0595238095238,29.140476190476193,8.66,5.34,0.04,57994.093499999995,65.09
38,DigitalHub8179,Premium,Central India,"Electronics,Fashion,Home",4.82,97,148,345625.97,3563.15,36.68333333333333,30.557142857142857,30.557142857142857,4.926190476190476,13.43,5.4,0.0,6818.844857142857,70.3
39,ReliableMart2697,Long Tail,South India,"Grocery,Sports,Electronics",3.86,573,823,14527973.74,25354.23,220.39761904761903,181.1333333333333,181.1333333333333,22.352380952380955,10.14,6.28,0.06,49212.475904761915,85.89
40,ReliableHub5462,Long Tail,East India,Electronics,4.98,686,950,3315984.82,4833.8,252.58571428571426,214.47380952380945,214.47380952380945,22.542857142857144,8.92,5.82,0.04,51045.32788095238,74.63
41,GlobalImports5325,Mid,Central India,"Sports,Home",3.54,111,139,655157.33,5902.32,37.77619047619048,31.959523809523812,31.959523809523812,3.1999999999999997,8.47,6.21,0.03,8351.70088095238,75.24
42,FastKart1058,Long Tail,East India,"Electronics,Sports,Beauty",4.2,1180,1664,9643787.79,8172.7,456.1428571428573,370.60476190476203,370.60476190476203,42.66666666666667,9.35,5.59,0.06,82837.29057142856,70.26
43,EliteExports8239,Premium,Central India,"Sports,Home",4.31,670,923,2029749.45,3029.48,240.34285714285713,207.43095238095236,207.43095238095236,20.59285714285714,8.57,5.43,0.04,41536.2754047619,61.99
44,SmartBazaar1590,Long Tail,East India,"Grocery,Electronics,Sports,Beauty",3.66,69,92,752144.68,10900.65,26.78571428571429,21.49285714285714,21.49285714285714,2.033333333333333,7.59,5.68,0.03,4936.475238095239,71.54
45,FutureDistribution1653,Mid,East India,"Fashion,Beauty,Sports,Electronics,Grocery",4.73,647,918,10011596.0,15473.87,239.79285714285714,203.81904761904755,203.81904761904755,20.61190476190476,8.6,6.13,0.09,49857.417452380956,77.06
46,NextWholesale3662,Long Tail,South India,"Fashion,Electronics,Home,Beauty,Sports,Grocery",4.66,656,875,26205334.07,39947.16,257.18571428571425,219.7642857142857,219.7642857142857,18.011904761904763,7.0,5.85,-0.04,52293.302833333335,79.84
47,ModernEnterprise7745,Mid,South India,Fashion,3.81,104,138,1725722.14,16593.48,37.49285714285714,31.442857142857147,31.442857142857147,2.6166666666666667,6.98,5.32,0.0,7075.166857142856,68.03
